Group,Replicate,Frame,Channel,Intensity_Mean,Intensity_Variance
M10,1,0,Ch1,64.91212291493821,5602.614070880477
M10,1,0,Ch2,17.46312238296872,9135.740982264004
M10,1,1,Ch1,80.82056259120884,6254.476784233332
M10,1,1,Ch2,57.955526353252935,11696.003408419047
M10,1,2,Ch1,92.79704818828017,6998.703984733346
M10,1,2,Ch2,131.98584828041805,17894.43415179496
M10,1,3,Ch1,86.7432191511032,7042.732879010573
M10,1,3,Ch2,243.9379305913891,27777.064966110753
M10,1,4,Ch1,71.62378944231992,5586.879379581938
M10,1,4,Ch2,350.323518619121,29680.486211637573
M10,1,5,Ch1,57.808455082674215,4190.298367368646
M10,1,5,Ch2,420.40714067547077,29634.243394233985
M10,1,6,Ch1,48.31592340762634,3481.426872129557
M10,1,6,Ch2,471.5689212373266,29530.68905614349
M10,2,0,Ch1,91.78763170653036,9440.834962748842
M10,2,0,Ch2,24.3087149719035,10687.997990524935
M10,2,1,Ch1,119.17790056900762,10173.088854966592
M10,2,1,Ch2,77.72389393723535,14710.89471073049
M10,2,2,Ch1,152.0515283413869,13368.310795003666
M10,2,2,Ch2,178.2378837341521,28333.052334677766
M10,2,3,Ch1,148.7614076194084,13560.330292952907
M10,2,3,Ch2,321.6251259531275,49021.13737524654
M10,2,4,Ch1,122.21861619577302,10388.776847562263
M10,2,4,Ch2,454.9946867964157,53393.67928041332
M10,2,5,Ch1,99.77502020245998,6850.461272915714
M10,2,5,Ch2,525.0846317247851,48751.919565405005
M10,2,6,Ch1,80.35140028533829,4929.156048248774
M10,2,6,Ch2,565.9922239360618,46187.90387964333
M10,3,0,Ch1,57.36820360013826,5400.980368723811
M10,3,0,Ch2,11.76434214997397,10695.173758661467
M10,3,1,Ch1,79.09112531418077,6633.570587002522
M10,3,1,Ch2,51.46278576163553,13518.397837449767
M10,3,2,Ch1,95.96048685604191,7600.7565109523075
M10,3,2,Ch2,121.23396495665054,22467.366726508382
M10,3,3,Ch1,94.43370352873848,7905.954068115453
M10,3,3,Ch2,230.0119203469538,40904.36265874918
M10,3,4,Ch1,81.79468429559259,6690.791482196948
M10,3,4,Ch2,355.62523565302104,44830.906528062085
M10,3,5,Ch1,65.74587548536704,4758.586036337269
M10,3,5,Ch2,436.26532163889846,43795.279502975405
M10,3,6,Ch1,53.80301565536715,3797.172682279089
M10,3,6,Ch2,477.2160434459576,41943.64271331558
M10,4,0,Ch1,57.56704352103475,5909.4280139758375
M10,4,0,Ch2,19.78530172105991,10718.701109824133
M10,4,1,Ch1,76.85087746857297,6632.546810926902
M10,4,1,Ch2,49.31786957437703,13059.04624212145
M10,4,2,Ch1,100.71401724256282,7959.267717989949
M10,4,2,Ch2,123.93170625603744,22786.764703553275
M10,4,3,Ch1,105.12132444088968,8665.016366231626
M10,4,3,Ch2,246.2041276739942,38914.07438699988
M10,4,4,Ch1,91.4633971739539,7579.466957817569
M10,4,4,Ch2,379.59340967337266,50014.74952187127
M10,4,5,Ch1,78.4339266798041,5743.260442026652
M10,4,5,Ch2,478.3184783855921,44566.654074690196
M10,4,6,Ch1,67.1262364842814,4390.103366446451
M10,4,6,Ch2,520.0419146824637,41020.84532920033
M10,5,0,Ch1,66.50940052500528,6733.437333343764
M10,5,0,Ch2,64.93479645697892,21344.667472175148
M10,5,1,Ch1,90.10522699446526,8092.125917200974
M10,5,1,Ch2,94.51213227774815,18242.706380076335
M10,5,2,Ch1,111.68617162691396,9332.117048812097
M10,5,2,Ch2,176.50096477858358,28188.46531027889
M10,5,3,Ch1,109.44037783120018,9785.799003883436
M10,5,3,Ch2,331.37862685590744,45910.43017238863
M10,5,4,Ch1,94.00866727522231,7655.491566517519
M10,5,4,Ch2,480.11121909365863,44543.76134019134
M10,5,5,Ch1,74.99871232549171,5136.20647601895
M10,5,5,Ch2,558.7071461945291,39127.78194976956
M10,5,6,Ch1,60.86302112588314,3881.4207073107805
M10,5,6,Ch2,588.2820566095354,34872.75987885091
M10,6,0,Ch1,42.82999378652789,4326.691407782411
M10,6,0,Ch2,31.77431849834062,11529.823786238536
M10,6,1,Ch1,60.75792040475119,5009.058334738569
M10,6,1,Ch2,59.02336120367602,12575.37234172086
M10,6,2,Ch1,82.3409779207743,6243.352245056168
M10,6,2,Ch2,134.6754138089072,19745.834084142727
M10,6,3,Ch1,82.56607580748928,6299.979790642734
M10,6,3,Ch2,260.0987875395309,34271.02852313856
M10,6,4,Ch1,71.03079712807994,5409.576265313183
M10,6,4,Ch2,396.9897580554591,38562.91043701114
M10,6,5,Ch1,56.855330725983805,4049.1679145440958
M10,6,5,Ch2,464.40061795638803,39518.799219811
M10,6,6,Ch1,45.77191964909514,3556.0421275204258
M10,6,6,Ch2,493.32112499446924,41253.21969000232
M11,1,0,Ch1,63.07851461641525,5703.7782314197075
M11,1,0,Ch2,38.47801870411121,12553.935764972375
M11,1,1,Ch1,78.88675169679999,6515.657851932543
M11,1,1,Ch2,87.22561896378437,16590.191316739976
M11,1,2,Ch1,100.44772725153112,7835.12456650084
M11,1,2,Ch2,188.78903537103338,29124.727637406475
M11,1,3,Ch1,95.25667675036365,7895.724254031358
M11,1,3,Ch2,326.2000649355633,46999.76030473073
M11,1,4,Ch1,80.14695355249552,5950.038170275856
M11,1,4,Ch2,423.91277034605514,44159.35712988228
M11,1,5,Ch1,64.73986118309332,4337.377204378323
M11,1,5,Ch2,462.2901295142101,37026.62916789786
M11,1,6,Ch1,52.55251156673839,3609.7679051031605
M11,1,6,Ch2,455.73849627800803,33025.949490196705
M11,2,0,Ch1,116.67321467582937,14619.177543280686
M11,2,0,Ch2,19.300061322853082,15049.115689062486
M11,2,1,Ch1,140.14196917177793,15822.961627386769
M11,2,1,Ch2,65.67229126270473,19646.828942781165
M11,2,2,Ch1,172.51677325813182,18235.918030774286
M11,2,2,Ch2,175.41171729761254,39705.73538772919
M11,2,3,Ch1,188.22080639345563,22134.564410431365
M11,2,3,Ch2,344.1620190145878,87031.29814828503
M11,2,4,Ch1,170.05596386149796,19312.113402472358
M11,2,4,Ch2,497.178079601037,111054.50043584964
M11,2,5,Ch1,135.94778596313776,12708.752889568395
M11,2,5,Ch2,550.2074734562757,86428.70747201823
M11,2,6,Ch1,104.8381802859148,7339.013298457963
M11,2,6,Ch2,545.5742311702769,61768.99769559255
M11,3,0,Ch1,80.56480780229404,9103.139335877026
M11,3,0,Ch2,19.148184807927805,11086.621449663338
M11,3,1,Ch1,108.38987873775784,10942.44419976674
M11,3,1,Ch2,53.6531495950324,13159.832935148943
M11,3,2,Ch1,133.2137654694198,14044.714548667303
M11,3,2,Ch2,140.62804786548173,26453.432427657943
M11,3,3,Ch1,146.92785506779367,16342.92201163332
M11,3,3,Ch2,296.5760748156854,61155.017390503555
M11,3,4,Ch1,130.82496681941768,14059.219360460625
M11,3,4,Ch2,441.7284572562594,63792.55765581204
M11,3,5,Ch1,101.84864499322913,7392.156900726111
M11,3,5,Ch2,517.3380063341756,42649.93102010745
M11,3,6,Ch1,75.37944538210641,4546.821707135724
M11,3,6,Ch2,521.5836257754565,35252.68164206874
M11,4,0,Ch1,62.900576650887444,6195.226047327821
M11,4,0,Ch2,27.17475410959196,13073.421811726108
M11,4,1,Ch1,75.48385794744331,7295.4152467464255
M11,4,1,Ch2,52.08087231935377,15262.074361103203
M11,4,2,Ch1,99.28090048198231,9236.123822999312
M11,4,2,Ch2,130.6023517993683,26581.122810691788
M11,4,3,Ch1,108.9654336374588,10225.398994202596
M11,4,3,Ch2,263.1162666991259,48431.975060398
M11,4,4,Ch1,99.50708457960766,8520.642253803806
M11,4,4,Ch2,410.6480110931437,48029.62204248812
M11,4,5,Ch1,78.3309545297613,5502.97941215275
M11,4,5,Ch2,463.9864854782641,37609.678924446955
M11,4,6,Ch1,62.19370807122945,3829.0023271562177
M11,4,6,Ch2,465.95021723329756,31528.757713433948
M11,5,0,Ch1,54.21335961663641,5855.500397034698
M11,5,0,Ch2,13.91568348490705,9364.834661040724
M11,5,1,Ch1,72.67738920428522,6564.664432315688
M11,5,1,Ch2,34.17512530727589,10425.75849059954
M11,5,2,Ch1,94.22757926546856,7199.064336384451
M11,5,2,Ch2,97.59487772365719,15882.637266737334
M11,5,3,Ch1,106.38172596767578,8676.946972945978
M11,5,3,Ch2,208.1628434437082,30247.81456614536
M11,5,4,Ch1,99.57677402182662,8171.958958322325
M11,5,4,Ch2,334.7963640114012,38937.18572407699
M11,5,5,Ch1,78.83203716875622,5530.159822446771
M11,5,5,Ch2,406.23303244279816,34742.78689030637
M11,5,6,Ch1,63.33916582596029,4155.320230500239
M11,5,6,Ch2,414.00972636636425,29136.35758316489
M11,6,0,Ch1,60.7328504790685,6591.008001238793
M11,6,0,Ch2,9.931752754623517,14606.986209170718
M11,6,1,Ch1,82.78461478679387,7458.9279017195495
M11,6,1,Ch2,36.22026163269311,15924.152704349819
M11,6,2,Ch1,106.28893846490348,9356.340921421528
M11,6,2,Ch2,101.78913017858514,23400.63960808642
M11,6,3,Ch1,117.1735787911409,11131.841381742732
M11,6,3,Ch2,227.13765969423247,42054.45366764175
M11,6,4,Ch1,103.93398547576103,9410.98510245101
M11,6,4,Ch2,352.21947132968063,45050.52316932446
M11,6,5,Ch1,79.2789265960692,5600.56248757857
M11,6,5,Ch2,406.8640574353504,39105.184870183795
M11,6,6,Ch1,63.51692031688563,3971.845060532997
M11,6,6,Ch2,423.833505828595,34645.080768828826
M12,1,0,Ch1,103.82429524061811,13286.903892205037
