Brd4_max,Cdc7_max,Treatment,Time,Replicate
1134,1708,water,0sec,1
788,1537,water,0sec,1
1054,2049,water,0sec,1
905,1305,water,0sec,1
797,1405,water,0sec,1
1360,1717,water,0sec,1
739,1175,water,0sec,1
876,1231,water,0sec,1
1103,1283,water,0sec,1
1374,2590,water,0sec,1
1051,1899,water,0sec,1
998,1521,water,0sec,1
950,1247,water,0sec,1
1144,1612,water,0sec,1
1182,2157,water,0sec,1
865,1551,water,0sec,1
1511,2840,water,0sec,1
1102,2254,water,0sec,1
1301,1762,water,0sec,1
1006,1700,water,0sec,1
948,1778,water,0sec,1
1943,2297,water,0sec,1
1537,2379,water,0sec,1
1881,2286,water,0sec,1
1208,1526,water,0sec,1
1014,1543,water,0sec,1
1964,2614,water,0sec,1
1023,1383,water,0sec,1
1792,2320,water,0sec,1
1426,2414,water,0sec,1
1016,1489,water,0sec,1
1815,3122,water,0sec,1
2022,3457,water,0sec,1
929,1823,water,0sec,1
1821,2526,water,0sec,1
1337,2079,water,0sec,1
957,1536,water,0sec,1
1130,2273,water,0sec,1
1953,3118,water,0sec,1
1555,1951,water,0sec,1
1232,1983,water,0sec,1
809,1586,water,0sec,1
1554,2120,water,0sec,1
1369,2259,water,0sec,1
1209,1742,water,0sec,1
1776,2350,water,0sec,1
1125,2033,water,0sec,1
1271,1971,water,0sec,1
1103,1933,water,0sec,1
951,1438,water,0sec,1
1312,2113,water,0sec,1
940,1591,water,0sec,2
1209,1848,water,0sec,2
1027,1347,water,0sec,2
793,1324,water,0sec,2
812,1246,water,0sec,2
1440,1844,water,0sec,2
1085,1434,water,0sec,2
1033,2019,water,0sec,2
1379,1474,water,0sec,2
1873,2093,water,0sec,2
1020,1695,water,0sec,2
1427,1674,water,0sec,2
1426,1612,water,0sec,2
1641,1673,water,0sec,2
1196,1071,water,0sec,2
1221,1627,water,0sec,2
1341,2110,water,0sec,2
1084,1390,water,0sec,2
1497,2265,water,0sec,2
1464,1938,water,0sec,2
1078,2156,water,0sec,2
1059,1740,water,0sec,2
1048,1586,water,0sec,2
1466,1654,water,0sec,2
1288,1928,water,0sec,2
2002,2019,water,0sec,2
875,1961,water,0sec,2
1071,1636,water,0sec,2
1337,919,water,0sec,2
1671,2851,water,0sec,2
1329,1795,water,0sec,2
1150,1122,water,0sec,2
1905,2356,water,0sec,2
1306,2583,water,0sec,2
2054,2091,water,0sec,2
1888,2306,water,0sec,2
879,1016,water,0sec,2
1304,1486,water,0sec,2
972,936,water,0sec,2
1602,1878,water,0sec,2
1293,2289,water,0sec,2
1805,2104,water,0sec,2
1190,1663,water,0sec,2
1315,1569,water,0sec,2
1233,1279,water,0sec,2
1181,1977,water,0sec,2
1495,2363,water,0sec,2
1307,1154,water,0sec,2
1536,2280,water,0sec,2
1087,1626,water,0sec,2
1225,1715,water,0sec,2
641,1393,water,0sec,3
1263,2460,water,0sec,3
604,1401,water,0sec,3
1357,3000,water,0sec,3
1500,3177,water,0sec,3
1035,1620,water,0sec,3
741,1374,water,0sec,3
1515,3250,water,0sec,3
1130,2266,water,0sec,3
813,2263,water,0sec,3
1048,2226,water,0sec,3
512,1203,water,0sec,3
1734,2803,water,0sec,3
825,1546,water,0sec,3
953,1599,water,0sec,3
1011,2243,water,0sec,3
931,2098,water,0sec,3
1303,2610,water,0sec,3
1059,1584,water,0sec,3
1329,2121,water,0sec,3
1599,3214,water,0sec,3
925,1570,water,0sec,3
825,2067,water,0sec,3
1754,3488,water,0sec,3
1442,2462,water,0sec,3
1354,2482,water,0sec,3
1420,2230,water,0sec,3
1020,1889,water,0sec,3
852,1641,water,0sec,3
1273,2047,water,0sec,3
1842,2898,water,0sec,3
837,1367,water,0sec,3
1331,1745,water,0sec,3
1391,3433,water,0sec,3
1273,1826,water,0sec,3
1200,2746,water,0sec,3
1633,2104,water,0sec,3
983,1415,water,0sec,3
1187,2133,water,0sec,3
1394,3191,water,0sec,3
1243,3037,water,0sec,3
1214,1738,water,0sec,3
1496,3771,water,0sec,3
1676,1799,water,0sec,3
1256,1794,water,0sec,3
1212,2825,water,0sec,3
2057,3372,water,0sec,3
961,1941,water,0sec,3
1413,2697,water,0sec,3
1337,3491,water,0sec,3
1375,1948,XL413,0sec,1
966,1042,XL413,0sec,1
