frame,instantaneous_MCP_ON,cumulative_MCP_ON,cumulative_MCP_off,total_nuclei,treatment,cycle,replicate
0,0,0,0,54,XL413,nc12,1
1,0,0,0,54,XL413,nc12,1
2,2,2,0,54,XL413,nc12,1
3,2,2,0,54,XL413,nc12,1
4,2,2,0,54,XL413,nc12,1
5,5,5,0,54,XL413,nc12,1
6,14,14,0,54,XL413,nc12,1
7,18,19,1,54,XL413,nc12,1
8,24,25,1,54,XL413,nc12,1
9,35,36,2,54,XL413,nc12,1
10,39,42,3,54,XL413,nc12,1
0,0,0,0,46,XL413,nc12,2
1,0,0,0,46,XL413,nc12,2
2,0,0,0,46,XL413,nc12,2
3,0,0,0,46,XL413,nc12,2
4,0,0,0,46,XL413,nc12,2
5,0,0,0,46,XL413,nc12,2
6,3,3,0,46,XL413,nc12,2
7,6,6,0,46,XL413,nc12,2
8,8,8,0,46,XL413,nc12,2
9,13,15,2,46,XL413,nc12,2
10,17,19,2,46,XL413,nc12,2
0,0,0,0,43,XL413,nc12,3
1,0,0,0,43,XL413,nc12,3
2,0,0,0,43,XL413,nc12,3
3,1,1,0,43,XL413,nc12,3
4,4,4,0,43,XL413,nc12,3
5,6,6,0,43,XL413,nc12,3
6,8,8,0,43,XL413,nc12,3
7,16,17,1,43,XL413,nc12,3
8,22,24,2,43,XL413,nc12,3
9,28,29,2,43,XL413,nc12,3
10,33,35,2,43,XL413,nc12,3
0,0,0,0,88,XL413,nc13,1
1,0,0,0,88,XL413,nc13,1
2,0,0,0,88,XL413,nc13,1
3,0,0,0,88,XL413,nc13,1
4,2,2,0,88,XL413,nc13,1
5,4,4,0,88,XL413,nc13,1
6,8,8,0,88,XL413,nc13,1
7,14,14,0,88,XL413,nc13,1
8,23,24,1,88,XL413,nc13,1
9,42,43,1,88,XL413,nc13,1
10,49,50,1,88,XL413,nc13,1
11,54,54,1,88,XL413,nc13,1
12,65,65,1,88,XL413,nc13,1
13,67,69,3,88,XL413,nc13,1
14,70,72,5,88,XL413,nc13,1
15,70,73,7,88,XL413,nc13,1
16,69,75,10,88,XL413,nc13,1
17,67,76,13,88,XL413,nc13,1
18,70,77,13,88,XL413,nc13,1
